nom_hotel,url,marque
CAMPANILE DUNKERQUE SUD - Loon Plage,https://www.tripadvisor.fr/Hotel_Review-g661491-d483751-Reviews-Campanile_Dunkerque_Sud_Loon_Plage-Loon_Plage_Nord_Hauts_de_France.html,CAMPANILE
CAMPANILE POITIERS SUD - Aéroport,https://www.tripadvisor.fr/Hotel_Review-g187207-d261120-Reviews-Campanile_Poitiers_Sud_Aeroport-Poitiers_Vienne_Nouvelle_Aquitaine.html,CAMPANILE
CAMPANILE MONTPELLIER SUD,https://www.tripadvisor.fr/Hotel_Review-g187153-d664484-Reviews-Campanile_Montpellier_Sud-Montpellier_Herault_Occitanie.html,CAMPANILE
CAMPANILE BORDEAUX OUEST - Mérignac Aéroport,https://www.tripadvisor.fr/Hotel_Review-g207338-d6950278-Reviews-Campanile_Bordeaux_Ouest_Merignac_Aeroport-Merignac_Bordeaux_Gironde_Nouvelle_Aquitain.html,CAMPANILE
PREMIERE CLASSE BOULOGNE - Saint Martin les Boulogne,https://www.tripadvisor.fr/Hotel_Review-g651734-d644575-Reviews-Premiere_Classe_Boulogne_Saint_Martin_les_Boulogne-Saint_Martin_Boulogne_Pas_de_Calais_.html,PREMIERE CLASSE
CAMPANILE LE HAVRE NORD - Montivilliers,https://www.tripadvisor.fr/Hotel_Review-g661652-d488056-Reviews-Campanile_Le_Havre_Nord_Montivilliers-Montivilliers_Seine_Maritime_Haute_Normandie_Norm.html,CAMPANILE
CAMPANILE CLERMONT FERRAND SUD - Issoire,https://www.tripadvisor.fr/Hotel_Review-g196518-d287104-Reviews-Campanile_Clermont_Ferrand_Sud-City_of_Issoire_Issoire_Puy_de_Dome_Auvergne_Rhone_Alpes.html,CAMPANILE
PREMIERE CLASSE LIMOGES NORD,https://www.tripadvisor.fr/Hotel_Review-g187159-d481711-Reviews-Premiere_Classe_Limoges_Nord-Limoges_Haute_Vienne_Nouvelle_Aquitaine.html,PREMIERE CLASSE
PREMIERE CLASSE LYON SUD - Chasse sur Rhône,https://www.tripadvisor.fr/Hotel_Review-g196698-d651072-Reviews-Hotel_Premiere_Classe_Lyon_Sud_Chasse_Sur_Rhone-Chasse_sur_Rhone_Isere_Auvergne_Rhone_A.html,PREMIERE CLASSE
PREMIERE CLASSE GENEVE - Saint Genis Pouilly,https://www.tripadvisor.fr/Hotel_Review-g675074-d736328-Reviews-Premiere_Classe_Geneve_Saint_Genis_Pouilly-Saint_Genis_Pouilly_Ain_Auvergne_Rhone_Alpes.html,PREMIERE CLASSE
CAMPANILE LILLE NORD - Wasquehal,https://www.tripadvisor.fr/Hotel_Review-g1227432-d488202-Reviews-Campanile_Lille_Nord_Wasquehal-Wasquehal_Lille_Nord_Hauts_de_France.html,CAMPANILE
CAMPANILE BETHUNE - Fouquières Les Béthune,https://www.tripadvisor.fr/Hotel_Review-g661474-d488207-Reviews-Campanile_Bethune_Fouquieres_Les_Bethune-Fouquieres_les_Bethune_Pas_de_Calais_Hauts_de_.html,CAMPANILE
CAMPANILE CLERMONT FERRAND SUD - Aubière,https://www.tripadvisor.fr/Hotel_Review-g661451-d488541-Reviews-Campanile_Clermont_Ferrand_Aubiere-Aubiere_Puy_de_Dome_Auvergne_Rhone_Alpes.html,CAMPANILE
CAMPANILE SALON DE PROVENCE,https://www.tripadvisor.fr/Hotel_Review-g187255-d286887-Reviews-Campanile_Salon_de_Provence-Salon_de_Provence_Bouches_du_Rhone_Provence_Alpes_Cote_d_Az.html,CAMPANILE
CAMPANILE BREST - Gouesnou Aéroport,https://www.tripadvisor.fr/Hotel_Review-g661479-d488522-Reviews-Hotel_Campanile_Brest_Gouesnou_Aeroport-Gouesnou_Brest_Finistere_Brittany.html,CAMPANILE
CAMPANILE REIMS EST - Taissy,https://www.tripadvisor.fr/Hotel_Review-g661760-d534829-Reviews-Campanile_Reims_Est_Taissy-Taissy_Marne_Grand_Est.html,CAMPANILE
PREMIERE CLASSE BORDEAUX SUD - Villenave d'Ornon,https://www.tripadvisor.fr/Hotel_Review-g1025628-d1050110-Reviews-Premiere_Classe_Bordeaux_Sud_Villenave_D_Ornon-Villenave_D_ornon_Bordeaux_Gironde_Nou.html,PREMIERE CLASSE
CAMPANILE STRASBOURG SUD - Illkirch Geispolsheim,https://www.tripadvisor.fr/Hotel_Review-g661476-d566074-Reviews-Hotel_Campanile_Strasbourg_Sud_Illkirch_Geispolsheim-Geispolsheim_Strasbourg_Bas_Rhin_G.html,CAMPANILE
CAMPANILE CONFLANS SAINTE HONORINE,https://www.tripadvisor.fr/Hotel_Review-g1006520-d487798-Reviews-Campanile_Conflans_Sainte_Honorine-Conflans_Sainte_Honorine_Yvelines_Ile_de_France.html,CAMPANILE
CAMPANILE AIX LES BAINS,https://www.tripadvisor.fr/Hotel_Review-g187259-d286882-Reviews-Campanile_Aix_Les_Bains-Aix_les_Bains_Savoie_Auvergne_Rhone_Alpes.html,CAMPANILE
KYRIAD LILLE NORD - Roncq,https://www.tripadvisor.fr/Hotel_Review-g651733-d488209-Reviews-Kyriad_Lille_Nord_Roncq-Roncq_Nord_Hauts_de_France.html,KYRIAD
PREMIERE CLASSE DUNKERQUE SUD - Loon Plage,https://www.tripadvisor.fr/Hotel_Review-g661491-d2553227-Reviews-Premiere_Classe_Dunkerque_Sud_Loon_Plage-Loon_Plage_Nord_Hauts_de_France.html,PREMIERE CLASSE
PREMIERE CLASSE ANGERS SUD - Les Ponts de Cé,https://www.tripadvisor.fr/Hotel_Review-g1067660-d3321653-Reviews-Premiere_Classe_Angers_Sud-Les_Ponts_De_Ce_Maine_et_Loire_Pays_de_la_Loire.html,PREMIERE CLASSE
KYRIAD DIRECT SAINT DIZIER,https://www.tripadvisor.fr/Hotel_Review-g196552-d287141-Reviews-Hotel_Kyriad_Direct_Saint_Dizier-Saint_Dizier_Haute_Marne_Grand_Est.html,KYRIAD DIRECT
PREMIERE CLASSE MONTLUCON  - St Victor,https://www.tripadvisor.fr/Hotel_Review-g226849-d650952-Reviews-Hotel_Premiere_Classe_Montlucon_Saint_Victor-Saint_Victor_Allier_Auvergne_Rhone_Alpes.html,PREMIERE CLASSE
CAMPANILE NEVERS NORD - Varennes Vauzelles,https://www.tripadvisor.fr/Hotel_Review-g196545-d287087-Reviews-Campanile_Nevers_Nord_Varennes_Vauzelles-Varennes_Vauzelles_Nevers_Nievre_Bourgogne_Fra.html,CAMPANILE
KYRIAD BRIE COMTE ROBERT,https://www.tripadvisor.fr/Hotel_Review-g661457-d487815-Reviews-Kyriad_Brie_Comte_Robert-Brie_Comte_Robert_Seine_et_Marne_Ile_de_France.html,KYRIAD
KYRIAD ANGERS SUD - Les Ponts de Cé,https://www.tripadvisor.fr/Hotel_Review-g1067660-d534837-Reviews-Kyriad_Angers_Sud_Les_Ponts_De_Ce-Les_Ponts_De_Ce_Maine_et_Loire_Pays_de_la_Loire.html,KYRIAD
KYRIAD ARGENTEUIL,https://www.tripadvisor.fr/Hotel_Review-g196557-d313117-Reviews-Hotel_Kyriad_Argenteuil-Argenteuil_Val_d_Oise_Ile_de_France.html,KYRIAD
